	Drug_id	Drug_name	Indication	Indi_UMLS_concept	Semtype	cui	Drug-Indication
263	DB00091	Cyclosporine	Severe, active Rheumatoid arthritis	Rheumatoid Arthritis	[dsyn]	C0003873	Cyclosporine Rheumatoid Arthritis
264	DB00091	Cyclosporine	Severe, recalcitrant Plaque psoriasis	Chronic small plaque psoriasis	[dsyn]	C0406317	Cyclosporine Chronic small plaque psoriasis
266	DB00094	Urofollitropin	Infertilities	Infertility	[patf]	C0021359	Urofollitropin Infertility
273	DB00098	Antithymocyte immunoglobulin (rabbit)	Kidney Transplant Rejection	Renal transplant rejection	[patf]	C0238217	Antithymocyte immunoglobulin (rabbit) Renal transplant rejection
274	DB00098	Antithymocyte immunoglobulin (rabbit)	Myelodysplastic Syndrome	Childhood Myelodysplastic Syndrome	[neop]	C2347761	Antithymocyte immunoglobulin (rabbit) Childhood Myelodysplastic Syndrome
276	DB00099	Filgrastim	Hematopoietic Subsyndrome of Acute Radiation Syndrome	Hematopoietic subsyndrome of acute radiation syndrome	[dsyn]	C4509926	Filgrastim Hematopoietic subsyndrome of acute radiation syndrome
277	DB00099	Filgrastim	Neutropenia	Neutropenia	[dsyn]	C0027947	Filgrastim Neutropenia
278	DB00099	Filgrastim	Neutropenia, Febrile	Febrile Neutropenia	[dsyn]	C0746883	Filgrastim Febrile Neutropenia
282	DB00099	Filgrastim	Severe idiopathic neutropenia	Idiopathic neutropenia	[dsyn]	C0948109	Filgrastim Idiopathic neutropenia
284	DB00100	Coagulation Factor IX (Recombinant)	Hereditary factor IX deficiency	Hemophilia B	[dsyn]	C0008533	Coagulation Factor IX (Recombinant) Hemophilia B
285	DB00102	Becaplermin	Skin Ulcer	Skin Ulcer	[dsyn]	C0037299	Becaplermin Skin Ulcer
286	DB00103	Agalsidase beta	Fabry's Disease	Fabry Disease	[dsyn]	C0002986	Agalsidase beta Fabry Disease
287	DB00104	Octreotide	Acromegaly	Acromegaly	[dsyn]	C0001206	Octreotide Acromegaly
288	DB00104	Octreotide	Metastatic Carcinoid Tumors	Metastatic carcinoid tumor	[neop]	C1334715	Octreotide Metastatic carcinoid tumor
290	DB00105	Interferon alfa-2b	Chronic Hepatitis C Virus (HCV) Infection	Hepatitis C, Chronic	[dsyn]	C0524910	Interferon alfa-2b Hepatitis C, Chronic
291	DB00105	Interferon alfa-2b	Hairy Cell Leukemia (HCL)	Hairy Cell Leukemia	[neop]	C0023443	Interferon alfa-2b Hairy Cell Leukemia
292	DB00105	Interferon alfa-2b	Kaposi s Sarcoma (KS)	Kaposi Sarcoma	[neop]	C0036220	Interferon alfa-2b Kaposi Sarcoma
293	DB00105	Interferon alfa-2b	Malignant Melanoma	Cutaneous Melanoma	[neop]	C0151779	Interferon alfa-2b Cutaneous Melanoma
295	DB00107	Oxytocin	Inevitable abortion	Inevitable miscarriage	[patf]	C0149814	Oxytocin Inevitable miscarriage
296	DB00107	Oxytocin	Postpartum Bleeding	Postpartum Hemorrhage	[patf]	C0032797	Oxytocin Postpartum Hemorrhage
299	DB00108	Natalizumab	Relapsing Remitting Multiple Sclerosis (RRMS)	Multiple Sclerosis, Relapsing-Remitting	[dsyn]	C0751967	Natalizumab Multiple Sclerosis, Relapsing-Remitting
